lot_id,tray_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
LOT-101,TRAY-1036,217396,86494,5218,117,3546,405,466,404,1720,3884,3398,118,291,291,53706,4,355266,6,215114,5
LOT-101,TRAY-1037,217236,86496,5180,119,3554,405,453,405,1752,3890,3442,117,290,291,52784,5,355101,6,215308,5
LOT-101,TRAY-1038,217236,86496,5181,118,3552,404,460,405,1773,3889,3416,118,290,290,53500,5,355357,5,215150,5
LOT-101,TRAY-1040,217400,86509,5120,118,3558,404,466,404,1776,3901,3493,118,290,290,53766,5,354793,5,215661,5
LOT-101,TRAY-1045,217166,86514,4729,118,3548,405,458,405,1840,3886,3544,118,290,291,53130,5,355878,6,215140,6
LOT-101,TRAY-1046,217166,86516,4729,118,3562,404,456,405,1708,3895,3401,118,290,291,53223,5,355320,5,215112,6
LOT-101,TRAY-1051,217596,86634,4338,118,3547,405,458,405,1778,3879,3473,118,290,290,53337,5,356361,5,215232,5
LOT-101,TRAY-1052,217595,86634,4337,119,3551,405,473,405,1768,3891,3411,118,290,291,53555,5,355112,5,215652,6
LOT-101,TRAY-1054,217449,86462,4422,118,3555,404,449,405,1630,3893,3352,118,290,291,54048,5,355160,6,215945,8
LOT-101,TRAY-1057,217817,86565,4168,119,3577,405,456,405,1671,3915,3405,118,290,290,52446,5,355804,5,215282,9
LOT-101,TRAY-1058,217817,86566,4168,118,3571,404,456,405,1809,3911,3477,119,290,291,53705,4,355265,6,215114,5
LOT-101,TRAY-1060,217430,86588,4288,118,3551,405,465,406,2108,3891,3594,118,289,292,52892,7,354856,5,215593,8
LOT-101,TRAY-1061,217381,86544,3853,119,3557,404,461,404,1724,3889,3423,118,290,290,53030,5,355185,5,215385,5
LOT-101,TRAY-1062,217381,86543,3854,118,3582,405,462,405,1819,3925,3512,118,290,290,53031,5,355185,5,215386,5
LOT-101,TRAY-1063,217383,86541,48349,119,3581,404,447,405,1677,3908,3483,118,290,291,42992,5,343576,5,209601,5
LOT-101,TRAY-1064,217383,86542,48350,118,3583,404,454,404,1799,3916,3499,118,290,290,42990,5,344422,6,209644,5
