tray_id,defect_rate,cell_count,defect_count,c4_temp_avg_mean,c4_temp_avg_std,c4_capa_mean,c4_capa_std,c4_voltage_avg_mean,c4_voltage_avg_std,c4_curr_end_mean,c4_curr_end_std,c4_time_cc_mean,c4_time_cc_std,c4_time_cv_mean,c4_time_cv_std,dt_start_mean,lot_id,rta1_tat,hta1_tat,rta2_tat,ocv1_tat,c1_tat,dc1_tat,c2_tat,dc2_tat,c3_tat,dc3_tat,c4_tat,ocv2_tat,pg1_tat,pc1_tat,sa1_tat,socv1_tat,sa2_tat,socv2_tat,sa3_tat,socv3_tat
TRAY-1069,0.0,16,0,266.0,0.0,4285.375,5.8750886518130985,3624.125,4.500000000000032,135.9375,0.2500000000000015,2160.1875,4.764014413636292,983.5,94.52054450400358,1725220935.0,LOT-101,218110,86613,47801,118,3555,404,456,405,1747,3884,3443,118,280,281,42865,13,343561,13,209578,14
TRAY-1070,0.0,25,0,262.0,0.0,4277.4,11.557825631724095,3628.0,5.515130702591339,135.76,0.4358898943540705,2152.64,8.994813320278864,1049.32,114.92016069138324,1725221765.0,LOT-101,218110,86614,47801,118,3555,405,459,405,1738,3885,3485,118,290,291,42922,5,342662,5,209581,5
TRAY-1071,0.0,17,0,284.0,0.0,4287.882352941177,8.752730666348935,3625.3529411764707,6.1435044607150076,135.76470588235293,0.4372373160976076,2165.4117647058824,7.314872038605786,998.9411764705883,126.32422104857568,1725222760.0,LOT-102,218091,86611,47628,119,3562,405,460,405,1761,3894,3456,117,291,290,42864,13,343561,13,209578,14
TRAY-1072,0.0,16,0,285.0,0.0,4300.0625,19.30964784764354,3624.3125,7.726307872026163,135.8125,0.4031128874149224,2171.5625,8.008068847522924,982.3125,164.87519269637463,1725223620.0,LOT-100,218091,86612,47629,118,3595,405,452,405,1841,3909,3523,118,290,292,43018,5,344418,5,209670,5
TRAY-1073,0.0625,16,1,298.0,0.0,4274.0,5.86515131944599,3625.5625,5.214962447931271,135.75,0.4472135954999567,2156.5625,3.614208073700276,1020.0,119.33817494833747,1725224555.0,LOT-102,217814,86598,47631,119,3551,404,451,405,1775,3883,3490,118,279,280,43019,5,344418,5,209671,6
TRAY-1074,0.0,17,0,300.0,0.0,4282.176470588235,9.461998296591817,3621.176470588235,4.720107177247747,135.8235294117647,0.39295262399669045,2165.0588235294117,5.792997801605967,947.5294117647059,96.81626777500958,1725225475.0,LOT-101,217814,86599,47631,118,3564,406,456,405,1714,3886,3401,118,290,290,43021,5,344352,5,209552,5
TRAY-1075,0.0,25,0,284.0,0.0,4287.2,9.13783344124849,3624.92,5.529617226053419,135.68,0.4760952285695216,2165.04,5.412023651093942,1022.4,119.80261544167834,1725226530.0,LOT-101,218477,86634,47222,119,3566,405,449,405,1731,3890,3489,117,290,291,42985,5,343246,5,209490,6
TRAY-1076,0.0,25,0,279.0,0.0,4308.52,18.590140756146216,3624.84,5.153316084490413,135.76,0.43588989435406983,2174.84,9.572878355019371,1006.84,107.48669685128488,1725227420.0,LOT-101,218477,86633,47222,118,3584,405,452,405,1715,3914,3464,117,290,291,42985,5,343246,5,209490,6
TRAY-1077,0.0,15,0,275.0,0.0,4342.6,5.791619561302132,3622.866666666667,5.208052373374316,135.6,0.5070925528371047,2194.0666666666666,4.0083246708152895,970.0666666666667,105.18654630612,1725228460.0,LOT-101,218324,86630,46960,117,3593,404,454,405,1513,3917,3463,118,290,291,42873,5,344246,5,209605,5
TRAY-1078,0.0,15,0,278.0,0.0,4273.6,8.25313793137423,3629.9333333333334,3.4323391995769126,135.86666666666667,0.351865775274495,2149.0666666666666,5.6374597453952875,1118.1333333333334,73.9950448791449,1725229365.0,LOT-102,218324,86631,46961,119,3585,404,462,405,1506,3911,3490,117,280,280,43022,5,344352,5,209553,5
